BROADWAY                      ,FAYETTE ST                    ,5
LINDEN ST,MASSACHUSETTS AVE,4
PUTNAM AVE                    ,SIDNEY ST                     ,4
HARVARD ST                    ,LEE ST                        ,4
CHARLES ST                    ,FULKERSON ST                  ,4
MASSACHUSETTS AVE,VASSAR ST,4
HOLYOKE ST                    ,MT AUBURN ST                  ,4
CAMBRIDGE ST                  ,FAYETTE ST                    ,4
BROADWAY                      ,COLUMBIA ST                   ,4
DOUGLASS ST,MASSACHUSETTS AVE,4
ELLERY ST                     ,HARVARD ST                    ,4
PUTNAM AVE                    ,WESTERN AVE                   ,4
BROADWAY                      ,ELLORY                        ,4
DEWOLFE ST                    ,MT AUBURN ST                  ,4
MAIN ST                       ,MASSACHUSETTS AVE             ,3
DOVER ST,MASSACHUSETTS AVE,3
GREEN ST                      ,RIVER ST                      ,3
MT AUBURN ST                  ,STORY ST                      ,3
CAMBRIDGESIDE PL              ,LAND BLVD                     ,3
CARDINAL MEDEIROS AVE         ,HAMPSHIRE ST                  ,3
GORE ST                       ,SIXTH ST                      ,3
GORE ST                       ,SCIARAPPA ST                  ,3
DAY ST                        ,MASSACHUSETTS AVE             ,3
MASS AVE                      ,SIDNEY                        ,3
COLUMBIA ST                   ,MASSACHUSETTS AVE             ,3
BAY ST                        ,MASSACHUSETTS AVE             ,3
PEARL ST                      ,PUTNAM AVE                    ,3
GALILEI WAY                   ,MAIN ST                       ,3
FRANKLIN ST                   ,PEARL ST                      ,3
CAMBRIDGE ST                  ,ROBERTS RD                    ,3
MASSACHUSETTS                 ,ALBANY                        ,3
COLUMBIA ST                   ,MAIN ST                       ,3
HAMPSHIRE ST                  ,BROADWAY ST                   ,3
ELIOT ST,MT AUBURN ST,3
MASS AVE                      ,SYDNEY                        ,3
BROADWAY                      ,TREMONT ST                    ,3
LINNAEAN ST,MASSACHUSETTS AVE,3
BINNEY ST                     ,THIRD ST                      ,3
BOW ST                        ,LINDEN ST                     ,3
CAMBRIDGE                     ,FIRST                         ,3
BINNEY ST                     ,SECOND ST                     ,3
BROADWAY                      ,WARE ST                       ,3
JFK ST                        ,MEMORIAL DR                   ,3
BRATTLE ST,JFK ST,3
CAMBRIDGE ST                  ,MASSACHUSETTS AVE             ,3
CAMBRIDGE ST                  ,COLUMBIA ST                   ,3
BISHOP ALLEN DR               ,DOUGLASS ST                   ,3
HANCOCK ST,MASSACHUSETTS AVE,3
BROOKLINE ST                  ,PUTNAM AVE                    ,3
MASSACHUSETTS AVE             ,PEABODY ST                    ,3
MASSACHUSETTS AVE             ,BROOKLINE                     ,3
MASSACHUSETTS AVE,PEARL ST,3
BINNEY ST,SECOND ST,3
BRATTLE ST                    ,JAMES ST                      ,2
BROOKLINE ST                  ,GRANITE ST                    ,2
ALEWIFE BROOK PKWY            ,MASSACHUSETTS AVE             ,2
COOLIDGE AVE                  ,MT AUBURN ST                  ,2
BISHOP ALLEN DR               ,PROSPECT ST                   ,2
ABERDEEN AVE                  ,MT AUBURN ST                  ,2
CAMBRIDGE ST                  ,QUINCY ST                     ,2
CAMBRIDGE ST                  ,FIFTH ST                      ,2
BROADWAY                      ,HIGHLAND AVE                  ,2
CAMBRIDGE ST                  ,WINDSOR ST                    ,2
BROADWAY,GALILEI WAY,2
BROOKLINE ST                  ,FRANKLIN ST                   ,2
CAMBRIDGE ST                  ,WARREN ST                     ,2
BROADWAY                      ,QUINCY                        ,2
BROADWAY,ELLERY ST,2
BROADWAY                      ,CAMBRIDGE ST                  ,2
