Citation Number,Date Time Issued,Street Number,Street Name,Cross Street,Charge Code,Charge Description
R7715310,4/25/16 16:40,,LANDSDOWNE ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7715311,4/25/16 16:45,,LANDSDOWNE ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7715312,4/25/16 16:45,,LANDSDOWNE ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7715248,4/25/16 16:50,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7715313,4/25/16 16:56,,LANDSDOWNE ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7715250,4/25/16 17:07,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7715251,4/25/16 17:12,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7715252,4/25/16 17:15,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7121189,4/25/16 17:30,,BEECH ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7715314,4/25/16 17:30,,HAMPSHIRE ST,WINDSOR ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715315,4/25/16 17:42,,HAMPSHIRE ST,WINDSOR ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715316,4/25/16 17:44,,HAMPSHIRE ST,WINDSOR ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715317,4/25/16 17:50,,HAMPSHIRE ST,WINDSOR ST,85/11B,BICYCLE VIOLATION c85 S11B
R7118629,4/25/16 17:55,,MASSACHUSETTS AVE,PROSPECT ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715318,4/25/16 18:00,,HAMPSHIRE ST,WINDSOR ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715068,4/26/16 8:27,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7715123,4/26/16 8:45,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7715070,4/26/16 8:48,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
