Citation Number,Date Time Issued,Street Number,Street Name,Cross Street,Charge Code,Charge Description
R4258167       ,10/24/13 9:00, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258168       ,10/24/13 9:05, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258497       ,10/24/13 14:38, ,BROOKLINE ST                  ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258498       ,10/24/13 14:42, ,DOUGLASS ST                   ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258499       ,10/24/13 14:50, ,DOUGLASS ST                   ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258500       ,10/24/13 15:00, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592501       ,10/24/13 15:08, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592503       ,10/24/13 15:30, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592507       ,10/25/13 12:33, ,CAMBRIDGE ST                  ,THIRD ST                      ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592589       ,10/25/13 13:10, ,CAMBRIDGE ST                  ,WARREN ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4266660       ,10/25/13 16:05, ,HANCOCK ST                    ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592041       ,10/26/13 10:40, ,BROADWAY                      ,WARE ST                       ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592043       ,10/26/13 14:15, ,DOVER ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592060       ,10/26/13 14:35, ,BROADWAY                      ,WARE ST                       ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4216456       ,10/26/13 18:17, ,BROOKLINE ST                  ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4216456       ,10/26/13 18:17, ,BROOKLINE ST                  ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3773453       ,10/27/13 15:45, ,MASSACHUSETTS AVE             ,WATERHOUSE ST                 ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3596192       ,10/28/13 8:45, ,HAMPSHIRE ST                  ,PROSPECT ST                   ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3596193       ,10/28/13 9:00, ,COLUMBIA ST                   ,HAMPSHIRE ST                  ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258172       ,10/28/13 11:30, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258173       ,10/28/13 11:30, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258171       ,10/28/13 12:20, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592205       ,10/28/13 15:30, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592346       ,10/28/13 15:44, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3084505       ,10/29/13 8:15, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3084506       ,10/29/13 8:20, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3084507       ,10/29/13 8:20, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592263       ,10/29/13 8:30, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592264       ,10/29/13 8:30, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3084508       ,10/29/13 8:38, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592265       ,10/29/13 8:38, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592266       ,10/29/13 8:50, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3084510       ,10/29/13 8:58, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592267       ,10/29/13 9:00, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592062       ,10/29/13 12:20, ,BROADWAY                      ,GALILEI WAY                   ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592064       ,10/29/13 12:30, ,MASSACHUSETTS AVE             ,PROSPECT ST                   ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592067       ,10/29/13 13:10, ,MASSACHUSETTS AVE             ,PROSPECT ST                   ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258240       ,10/29/13 13:42, ,PUTNAM AVE                    ,WESTERN AVE                   ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592075       ,10/29/13 14:15, ,ELIOT ST                      ,MT AUBURN ST                  ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592832       ,10/29/13 16:30, ,BROADWAY                      ,COLUMBIA ST                   ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592626       ,10/30/13 0:00, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592347       ,10/30/13 7:17, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592207       ,10/30/13 7:30, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592208       ,10/30/13 7:46, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592209       ,10/30/13 7:52, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592348       ,10/30/13 7:52, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592349       ,10/30/13 7:58, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592210       ,10/30/13 8:03, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592350       ,10/30/13 8:06, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592211       ,10/30/13 8:10, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592351       ,10/30/13 8:15, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592212       ,10/30/13 8:16, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592352       ,10/30/13 8:22, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592213       ,10/30/13 8:29, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592353       ,10/30/13 8:30, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592354       ,10/30/13 8:30, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592355       ,10/30/13 8:30, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592214       ,10/30/13 8:35, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592356       ,10/30/13 8:45, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592215       ,10/30/13 8:52, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592216       ,10/30/13 8:55, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3084530       ,10/30/13 11:00, ,MASSACHUSETTS AVE             ,TROWBRIDGE ST                 ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3084531       ,10/30/13 11:05, ,MASSACHUSETTS AVE             ,MT AUBURN ST                  ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592624       ,10/30/13 11:40,77,MASSACHUSETTS AVE             , ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592625       ,10/30/13 11:50, ,LANDSDOWNE ST                 ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592628       ,10/30/13 12:15, ,MASSACHUSETTS AVE             ,SIDNEY ST EXT                 ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592629       ,10/30/13 12:20, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592840       ,10/30/13 12:35, ,DOVER ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592633       ,10/30/13 12:55, ,MAIN ST                       ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592634       ,10/30/13 13:05, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592906       ,10/30/13 14:00, ,DOVER ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258629       ,10/31/13 17:07, ,LINNAEAN ST                   ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592049       ,11/1/13 10:45, ,CAMBRIDGE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592050       ,11/1/13 12:30, ,MASSACHUSETTS AVE             ,PROSPECT ST                   ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592984       ,11/4/13 17:45, ,ALBANY ST                     ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592984       ,11/4/13 17:45, ,ALBANY ST                     ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258630       ,11/4/13 17:50, ,MASSACHUSETTS AVE             ,UPLAND RD                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4266722       ,11/4/13 18:39, ,CHAUNCY ST                    ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592845       ,11/6/13 10:15, ,CAMBRIDGE ST                  ,WILLOW ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4216267       ,11/6/13 17:45, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4216268       ,11/6/13 17:45, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592988       ,11/8/13 19:28, ,ELIOT ST                      ,MT AUBURN ST                  ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592776       ,11/9/13 15:55, ,ESSEX ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592777       ,11/9/13 16:10, ,ESSEX ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3762828       ,11/9/13 16:50, ,BROADWAY                      ,GALILEI WAY                   ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3762829       ,11/9/13 16:50, ,BROADWAY                      ,GALILEI WAY                   ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258631       ,11/9/13 17:30, ,ARLINGTON ST                  ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3762831       ,11/10/13 17:00, ,BROADWAY                      ,HAMPSHIRE ST                  ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258632       ,11/10/13 18:06, ,MASSACHUSETTS AVE             ,SOMERVILLE AVE                ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258194       ,11/13/13 9:21, ,LANDSDOWNE ST                 ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4204587       ,11/13/13 10:55, ,LANDSDOWNE ST                 ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258634       ,11/13/13 16:28, ,BROADWAY                      ,PROSPECT ST                   ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3227773       ,11/14/13 12:15, ,BROADWAY                      ,QUINCY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3229162       ,11/14/13 15:30, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3229161       ,11/14/13 15:45, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3229163       ,11/14/13 16:05, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3229164       ,11/14/13 16:10, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3229165       ,11/14/13 16:30, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R2441198       ,11/14/13 17:34, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258635       ,11/14/13 17:37, ,BIGELOW ST                    ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R2441199       ,11/14/13 17:40, ,BIGELOW ST                    ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592275       ,11/15/13 8:11, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4267683       ,11/15/13 8:22, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4267684       ,11/15/13 8:22, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4267685       ,11/15/13 8:30, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4204588       ,11/15/13 11:25, ,BISHOP ALLEN DR               ,COLUMBIA ST                   ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4210045       ,11/15/13 16:01, ,HOLYOKE ST                    ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4210046       ,11/15/13 16:10, ,HOLYOKE ST                    ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4210046       ,11/15/13 16:10, ,HOLYOKE ST                    ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4210047       ,11/15/13 16:20, ,HOLYOKE ST                    ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4210047       ,11/15/13 16:20, ,HOLYOKE ST                    ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4204591       ,11/16/13 10:00, ,HAMPSHIRE ST                  ,PROSPECT ST                   ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4204592       ,11/16/13 11:24, ,DOUGLASS ST                   ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592443       ,11/16/13 11:40, ,COLUMBIA ST                   ,MAIN ST                       ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3535580       ,11/16/13 12:50, ,MASSACHUSETTS AVE             ,PROSPECT ST                   ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592452       ,11/16/13 13:00, ,DOVER ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592456       ,11/16/13 13:35, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592481       ,11/18/13 17:14, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4204784       ,11/18/13 17:15, ,MASSACHUSETTS AVE             ,PLEASANT ST                   ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258897       ,11/18/13 17:17, ,MIDDLESEX ST                  ,RINDGE AVE                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3596238       ,11/18/13 18:30, ,MASSACHUSETTS AVE             ,UPLAND RD                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840244       ,11/19/13 12:20, ,HAMPSHIRE ST                  ,WINDSOR ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840379       ,11/19/13 13:30, ,GARFIELD ST                   ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840003       ,11/19/13 16:25, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840005       ,11/19/13 16:52, ,FRONT ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840006       ,11/19/13 17:04, ,FRONT ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258303       ,11/19/13 17:05, ,MASSACHUSETTS AVE             ,SIDNEY ST EXT                 ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840007       ,11/19/13 17:11, ,FRONT ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840008       ,11/19/13 17:18, ,FRONT ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840009       ,11/19/13 17:26, ,FRONT ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840010       ,11/19/13 17:33, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840011       ,11/19/13 17:35, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840016       ,11/19/13 17:42, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840012       ,11/19/13 19:32, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592994       ,11/19/13 19:35, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4216150       ,11/20/13 9:13, ,MASSACHUSETTS AVE             ,PEARL ST                      ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4216151       ,11/20/13 9:23, ,BROOKLINE ST                  ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4216152       ,11/20/13 9:32, ,BROOKLINE ST                  ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840386       ,11/20/13 16:26, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840387       ,11/20/13 16:52, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840388       ,11/20/13 17:00, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840389       ,11/20/13 17:09, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840390       ,11/20/13 17:09, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840391       ,11/20/13 17:09, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840392       ,11/20/13 17:09, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840393       ,11/20/13 17:09, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840394       ,11/20/13 17:09, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258306       ,11/20/13 17:15, ,BROADWAY                      ,HAMPSHIRE ST                  ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258307       ,11/20/13 17:20, ,BROADWAY                      ,HAMPSHIRE ST                  ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840395       ,11/20/13 17:28, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840396       ,11/20/13 17:40, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840397       ,11/20/13 17:48, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840398       ,11/20/13 18:37, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840361       ,11/20/13 18:40, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840364       ,11/20/13 18:54, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840363       ,11/20/13 18:55, ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4267686       ,11/21/13 8:34, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4210203       ,11/21/13 8:40, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4210204       ,11/21/13 8:40, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4267687       ,11/21/13 8:43, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4210205       ,11/21/13 8:45, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592181       ,11/21/13 8:48, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592182       ,11/21/13 8:48, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592183       ,11/21/13 8:48, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592669       ,11/21/13 8:48, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592670       ,11/21/13 8:48, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4210206       ,11/21/13 8:50, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4267688       ,11/21/13 8:54, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4210207       ,11/21/13 9:00, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4210208       ,11/21/13 9:00, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4267689       ,11/21/13 9:00, ,INMAN ST                      ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592184       ,11/21/13 9:01, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592671       ,11/21/13 9:01, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592185       ,11/21/13 9:05, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592186       ,11/21/13 9:15, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592187       ,11/21/13 9:20, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592673       ,11/21/13 9:20, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592674       ,11/21/13 9:25, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592188       ,11/21/13 9:27, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592189       ,11/21/13 9:27, ,MASSACHUSETTS AVE             ,SHEPARD ST                    ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R3592668       ,11/21/13 9:45, ,LINNAEAN ST                   ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4216343       ,11/21/13 9:55, ,AMES ST                       ,BROADWAY                      ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4267690       ,11/21/13 9:58, ,BROOKLINE ST                  ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4216344       ,11/21/13 10:09, ,AMES ST                       ,BROADWAY                      ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4210048       ,11/21/13 15:57, ,HOLYOKE ST                    ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4210049       ,11/21/13 16:20, ,MASSACHUSETTS AVE             ,PLYMPTON ST                   ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4258638       ,11/21/13 17:39, ,LINNAEAN ST                   ,MASSACHUSETTS AVE             ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
R4840370       ,11/21/13 18:54,     ,MASSACHUSETTS AVE             ,SIDNEY ST                     ,85/11B         ,BICYCLE VIOLATION c85 S11B                        
